OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Shape_Area,Area_km2,Area_km2geodesic
231,Cx,42,0,S2INTSINFLOW2160617,Y,21209.24344,3598.232179,450885.2946,0.450885295,0.451211582
232,Cx,43,0,S2DNTS5160617,Y,24551.93494,3598.232179,450885.2946,0.450885295,0.451211582
233,Cx,44,0,S3UPTS6160730,Y,25887.85677,3598.232179,450885.2946,0.450885295,0.451211582
234,Cx,46,0,S3DNTS7160730,Y,39206.58459,3598.232179,450885.2946,0.450885295,0.451211582
235,MpMbMpv,15,0,SDDNTS300150704,Y,6912.094798,3421.125597,65803.89938,0.065803899,0.065855172
236,MpMbMpv,16,0,SDDNTS400150704,Y,7087.512259,3421.125597,65803.89938,0.065803899,0.065855172
237,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,3421.125597,65803.89938,0.065803899,0.065855172
238,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,3421.125597,65803.89938,0.065803899,0.065855172
239,MpMbMpv,41,0,S2UPTS4160617,Y,21949.53018,5930.183979,648818.0415,0.648818042,0.649324707
240,MpMbMpv,43,0,S2DNTS5160617,Y,24551.93494,5930.183979,648818.0415,0.648818042,0.649324707
241,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,5930.183979,648818.0415,0.648818042,0.649324707
242,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,5930.183979,648818.0415,0.648818042,0.649324707
243,MpMbMpv,42,0,S2INTSINFLOW2160617,Y,21209.24344,23269.63545,6674425.527,6.674425527,6.679815068
244,MpMbMpv,43,0,S2DNTS5160617,Y,24551.93494,23269.63545,6674425.527,6.674425527,6.679815068
245,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,23269.63545,6674425.527,6.674425527,6.679815068
246,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,23269.63545,6674425.527,6.674425527,6.679815068
247,R/Cv,42,0,S2INTSINFLOW2160617,Y,21209.24344,5386.774668,951712.7763,0.951712776,0.952464383
248,R/Cv,43,0,S2DNTS5160617,Y,24551.93494,5386.774668,951712.7763,0.951712776,0.952464383
249,R/Cv,44,0,S3UPTS6160730,Y,25887.85677,5386.774668,951712.7763,0.951712776,0.952464383
