OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Area_km2,Area_km2geodesic
229,MhMrMm,57,0,site14,Y,48819.29437,29682.54067,16.58332925,16.59663855
230,MhMrMm,58,0,siteSC-9A,Y,258694.6456,29682.54067,16.58332925,16.59663855
231,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,29682.54067,16.58332925,16.59663855
232,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,29682.54067,16.58332925,16.59663855
233,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,370.7628626,0.002306162,0.002292395
234,Cx,58,0,siteSC-9A,Y,258694.6456,370.7628626,0.002306162,0.002292395
235,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,370.7628626,0.002306162,0.002292395
236,Cx,59,0,siteSCoutlet170710,Y,263523.1099,370.7628626,0.002306162,0.002292395
237,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,370.7628626,0.002306162,0.002292395
238,Cx,60,0,siteSCoutlet170807,Y,267972.9067,370.7628626,0.002306162,0.002292395
239,MhMrMm,58,0,siteSC-9A,Y,258694.6456,1592.372617,0.013081768,0.013094915
240,Cx,58,0,siteSC-9A,Y,258694.6456,1592.372617,0.013081768,0.013094915
241,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,1592.372617,0.013081768,0.013094915
242,Cx,59,0,siteSCoutlet170710,Y,263523.1099,1592.372617,0.013081768,0.013094915
243,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,1592.372617,0.013081768,0.013094915
244,Cx,60,0,siteSCoutlet170807,Y,267972.9067,1592.372617,0.013081768,0.013094915
245,Cx,58,0,siteSC-9A,Y,258694.6456,536.5641532,0.003610638,0.00361255
246,MhMrMm,58,0,siteSC-9A,Y,258694.6456,536.5641532,0.003610638,0.00361255
247,Cx,59,0,siteSCoutlet170710,Y,263523.1099,536.5641532,0.003610638,0.00361255
248,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,536.5641532,0.003610638,0.00361255
249,Cx,60,0,siteSCoutlet170807,Y,267972.9067,536.5641532,0.003610638,0.00361255
250,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,536.5641532,0.003610638,0.00361255
251,Mv,14,0,SDDNTS200150704,Y,6690.215488,2755.660303,0.037997398,0.038026115
252,Mv,15,0,SDDNTS300150704,Y,6912.094798,2755.660303,0.037997398,0.038026115
253,Mv,16,0,SDDNTS400150704,Y,7087.512259,2755.660303,0.037997398,0.038026115
254,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,2755.660303,0.037997398,0.038026115
255,Mv,46,0,S3DNTS7160730,Y,39206.58459,2755.660303,0.037997398,0.038026115
256,MpMbMpv,14,0,SDDNTS200150704,Y,6690.215488,1114.970995,0.012042495,0.012052038
257,MpMbMpv,15,0,SDDNTS300150704,Y,6912.094798,1114.970995,0.012042495,0.012052038
258,MpMbMpv,16,0,SDDNTS400150704,Y,7087.512259,1114.970995,0.012042495,0.012052038
